lambda_over_k0,re_d_tm,im_d_tm
6.0750000000e-01,-2.0294918185e+03,8.3238535431e+02
6.0800000000e-01,-2.0285087400e+03,8.3198436446e+02
6.0850000000e-01,-2.0275255788e+03,8.3158285111e+02
6.0900000000e-01,-2.0265423358e+03,8.3118081352e+02
6.0950000000e-01,-2.0255590121e+03,8.3077825091e+02
6.1000000000e-01,-2.0245756085e+03,8.3037516253e+02
6.1050000000e-01,-2.0235921261e+03,8.2997154760e+02
6.1100000000e-01,-2.0226085658e+03,8.2956740536e+02
6.1150000000e-01,-2.0216249286e+03,8.2916273504e+02
6.1200000000e-01,-2.0206412154e+03,8.2875753586e+02
6.1250000000e-01,-2.0196574273e+03,8.2835180705e+02
6.1300000000e-01,-2.0186735651e+03,8.2794554783e+02
6.1350000000e-01,-2.0176896299e+03,8.2753875742e+02
6.1400000000e-01,-2.0167056226e+03,8.2713143504e+02
6.1450000000e-01,-2.0157215441e+03,8.2672357989e+02
6.1500000000e-01,-2.0147373954e+03,8.2631519119e+02
6.1550000000e-01,-2.0137531775e+03,8.2590626815e+02
6.1600000000e-01,-2.0127688913e+03,8.2549680997e+02
6.1650000000e-01,-2.0117845378e+03,8.2508681586e+02
6.1700000000e-01,-2.0108001180e+03,8.2467628502e+02
6.1750000000e-01,-2.0098156327e+03,8.2426521664e+02
6.1800000000e-01,-2.0088310829e+03,8.2385360993e+02
6.1850000000e-01,-2.0078464696e+03,8.2344146407e+02
6.1900000000e-01,-2.0068617937e+03,8.2302877825e+02
6.1950000000e-01,-2.0058770562e+03,8.2261555166e+02
6.2000000000e-01,-2.0048922580e+03,8.2220178349e+02
6.2050000000e-01,-2.0039074000e+03,8.2178747292e+02
6.2100000000e-01,-2.0029224832e+03,8.2137261913e+02
6.2150000000e-01,-2.0019375086e+03,8.2095722128e+02
6.2200000000e-01,-2.0009524770e+03,8.2054127857e+02
6.2250000000e-01,-1.9999673894e+03,8.2012479015e+02
6.2300000000e-01,-1.9989822468e+03,8.1970775520e+02
6.2350000000e-01,-1.9979970500e+03,8.1929017289e+02
6.2400000000e-01,-1.9970118001e+03,8.1887204236e+02
6.2450000000e-01,-1.9960264978e+03,8.1845336279e+02
6.2500000000e-01,-1.9950411443e+03,8.1803413334e+02
6.2550000000e-01,-1.9940557403e+03,8.1761435314e+02
6.2600000000e-01,-1.9930702869e+03,8.1719402137e+02
6.2650000000e-01,-1.9920847849e+03,8.1677313716e+02
6.2700000000e-01,-1.9910992353e+03,8.1635169966e+02
6.2750000000e-01,-1.9901136389e+03,8.1592970801e+02
6.2800000000e-01,-1.9891279968e+03,8.1550716136e+02
6.2850000000e-01,-1.9881423099e+03,8.1508405883e+02
6.2900000000e-01,-1.9871565789e+03,8.1466039958e+02
6.2950000000e-01,-1.9861708050e+03,8.1423618271e+02
6.3000000000e-01,-1.9851849889e+03,8.1381140737e+02
6.3050000000e-01,-1.9841991317e+03,8.1338607267e+02
6.3100000000e-01,-1.9832132342e+03,8.1296017775e+02
6.3150000000e-01,-1.9822272973e+03,8.1253372171e+02
6.3200000000e-01,-1.9812413220e+03,8.1210670368e+02
6.3250000000e-01,-1.9802553091e+03,8.1167912277e+02
6.3300000000e-01,-1.9792692595e+03,8.1125097809e+02
6.3350000000e-01,-1.9782831743e+03,8.1082226874e+02
6.3400000000e-01,-1.9772970542e+03,8.1039299383e+02
6.3450000000e-01,-1.9763109002e+03,8.0996315246e+02
6.3500000000e-01,-1.9753247132e+03,8.0953274372e+02
6.3550000000e-01,-1.9743384940e+03,8.0910176672e+02
6.3600000000e-01,-1.9733522437e+03,8.0867022054e+02
6.3650000000e-01,-1.9723659630e+03,8.0823810427e+02
6.3700000000e-01,-1.9713796529e+03,8.0780541700e+02
6.3750000000e-01,-1.9703933143e+03,8.0737215781e+02
6.3800000000e-01,-1.9694069480e+03,8.0693832578e+02
6.3850000000e-01,-1.9684205551e+03,8.0650391997e+02
6.3900000000e-01,-1.9674341362e+03,8.0606893948e+02
6.3950000000e-01,-1.9664476925e+03,8.0563338335e+02
6.4000000000e-01,-1.9654612246e+03,8.0519725067e+02
6.4050000000e-01,-1.9644747336e+03,8.0476054049e+02
6.4100000000e-01,-1.9634882203e+03,8.0432325188e+02
6.4150000000e-01,-1.9625016856e+03,8.0388538388e+02
6.4200000000e-01,-1.9615151304e+03,8.0344693555e+02
6.4250000000e-01,-1.9605285556e+03,8.0300790594e+02
6.4300000000e-01,-1.9595419620e+03,8.0256829410e+02
6.4350000000e-01,-1.9585553505e+03,8.0212809907e+02
6.4400000000e-01,-1.9575687220e+03,8.0168731989e+02
6.4450000000e-01,-1.9565820774e+03,8.0124595559e+02
6.4500000000e-01,-1.9555954176e+03,8.0080400521e+02
6.4550000000e-01,-1.9546087434e+03,8.0036146777e+02
6.4600000000e-01,-1.9536220557e+03,7.9991834231e+02
6.4650000000e-01,-1.9526353554e+03,7.9947462784e+02
6.4700000000e-01,-1.9516486433e+03,7.9903032338e+02
6.4750000000e-01,-1.9506619204e+03,7.9858542796e+02
6.4800000000e-01,-1.9496751874e+03,7.9813994057e+02
6.4850000000e-01,-1.9486884453e+03,7.9769386023e+02
6.4900000000e-01,-1.9477016949e+03,7.9724718594e+02
6.4950000000e-01,-1.9467149371e+03,7.9679991670e+02
6.5000000000e-01,-1.9457281727e+03,7.9635205152e+02
6.5050000000e-01,-1.9447414027e+03,7.9590358938e+02
6.5100000000e-01,-1.9437546278e+03,7.9545452928e+02
6.5150000000e-01,-1.9427678489e+03,7.9500487020e+02
6.5200000000e-01,-1.9417810669e+03,7.9455461113e+02
6.5250000000e-01,-1.9407942827e+03,7.9410375104e+02
6.5300000000e-01,-1.9398074970e+03,7.9365228891e+02
6.5350000000e-01,-1.9388207108e+03,7.9320022371e+02
6.5400000000e-01,-1.9378339249e+03,7.9274755442e+02
6.5450000000e-01,-1.9368471401e+03,7.9229427999e+02
6.5500000000e-01,-1.9358603573e+03,7.9184039939e+02
6.5550000000e-01,-1.9348735774e+03,7.9138591157e+02
6.5600000000e-01,-1.9338868011e+03,7.9093081548e+02
6.5650000000e-01,-1.9329000294e+03,7.9047511009e+02
6.5700000000e-01,-1.9319132631e+03,7.9001879432e+02
6.5750000000e-01,-1.9309265029e+03,7.8956186713e+02
6.5800000000e-01,-1.9299397499e+03,7.8910432745e+02
6.5850000000e-01,-1.9289530047e+03,7.8864617421e+02
6.5900000000e-01,-1.9279662683e+03,7.8818740635e+02
6.5950000000e-01,-1.9269795414e+03,7.8772802279e+02
6.6000000000e-01,-1.9259928250e+03,7.8726802245e+02
6.6050000000e-01,-1.9250061198e+03,7.8680740426e+02
6.6100000000e-01,-1.9240194267e+03,7.8634616712e+02
6.6150000000e-01,-1.9230327465e+03,7.8588430995e+02
6.6200000000e-01,-1.9220460800e+03,7.8542183165e+02
6.6250000000e-01,-1.9210594281e+03,7.8495873112e+02
6.6300000000e-01,-1.9200727916e+03,7.8449500727e+02
6.6350000000e-01,-1.9190861713e+03,7.8403065898e+02
6.6400000000e-01,-1.9180995681e+03,7.8356568515e+02
6.6450000000e-01,-1.9171129827e+03,7.8310008467e+02
6.6500000000e-01,-1.9161264161e+03,7.8263385640e+02
6.6550000000e-01,-1.9151398689e+03,7.8216699924e+02
6.6600000000e-01,-1.9141533421e+03,7.8169951205e+02
6.6650000000e-01,-1.9131668364e+03,7.8123139371e+02
6.6700000000e-01,-1.9121803527e+03,7.8076264307e+02
6.6750000000e-01,-1.9111938917e+03,7.8029325900e+02
6.6800000000e-01,-1.9102074544e+03,7.7982324036e+02
6.6850000000e-01,-1.9092210414e+03,7.7935258599e+02
6.6900000000e-01,-1.9082346537e+03,7.7888129475e+02
6.6950000000e-01,-1.9072482920e+03,7.7840936547e+02
6.7000000000e-01,-1.9062619572e+03,7.7793679700e+02
6.7050000000e-01,-1.9052756500e+03,7.7746358818e+02
6.7100000000e-01,-1.9042893712e+03,7.7698973782e+02
6.7150000000e-01,-1.9033031218e+03,7.7651524476e+02
6.7200000000e-01,-1.9023169023e+03,7.7604010781e+02
6.7250000000e-01,-1.9013307137e+03,7.7556432580e+02
6.7300000000e-01,-1.9003445568e+03,7.7508789754e+02
6.7350000000e-01,-1.8993584324e+03,7.7461082183e+02
6.7400000000e-01,-1.8983723412e+03,7.7413309747e+02
6.7450000000e-01,-1.8973862840e+03,7.7365472328e+02
6.7500000000e-01,-1.8964002617e+03,7.7317569803e+02
6.7550000000e-01,-1.8954142751e+03,7.7269602051e+02
6.7600000000e-01,-1.8944283249e+03,7.7221568952e+02
6.7650000000e-01,-1.8934424119e+03,7.7173470384e+02
6.7700000000e-01,-1.8924565369e+03,7.7125306223e+02
6.7750000000e-01,-1.8914707007e+03,7.7077076346e+02
6.7800000000e-01,-1.8904849042e+03,7.7028780631e+02
6.7850000000e-01,-1.8894991480e+03,7.6980418954e+02
6.7900000000e-01,-1.8885134329e+03,7.6931991189e+02
6.7950000000e-01,-1.8875277598e+03,7.6883497213e+02
6.8000000000e-01,-1.8865421295e+03,7.6834936900e+02
6.8050000000e-01,-1.8855565426e+03,7.6786310123e+02
6.8100000000e-01,-1.8845710000e+03,7.6737616757e+02
6.8150000000e-01,-1.8835855025e+03,7.6688856675e+02
6.8200000000e-01,-1.8826000509e+03,7.6640029749e+02
6.8250000000e-01,-1.8816146458e+03,7.6591135851e+02
6.8300000000e-01,-1.8806292882e+03,7.6542174854e+02
6.8350000000e-01,-1.8796439787e+03,7.6493146628e+02
6.8400000000e-01,-1.8786587181e+03,7.6444051044e+02
6.8450000000e-01,-1.8776735073e+03,7.6394887973e+02
6.8500000000e-01,-1.8766883469e+03,7.6345657283e+02
6.8550000000e-01,-1.8757032377e+03,7.6296358844e+02
6.8600000000e-01,-1.8747181806e+03,7.6246992524e+02
6.8650000000e-01,-1.8737331762e+03,7.6197558192e+02
6.8700000000e-01,-1.8727482254e+03,7.6148055715e+02
6.8750000000e-01,-1.8717633288e+03,7.6098484960e+02
6.8800000000e-01,-1.8707784873e+03,7.6048845794e+02
6.8850000000e-01,-1.8697937016e+03,7.5999138082e+02
6.8900000000e-01,-1.8688089725e+03,7.5949361690e+02
6.8950000000e-01,-1.8678243007e+03,7.5899516483e+02
6.9000000000e-01,-1.8668396870e+03,7.5849602325e+02
6.9050000000e-01,-1.8658551322e+03,7.5799619080e+02
6.9100000000e-01,-1.8648706369e+03,7.5749566611e+02
6.9150000000e-01,-1.8638862020e+03,7.5699444781e+02
6.9200000000e-01,-1.8629018281e+03,7.5649253452e+02
6.9250000000e-01,-1.8619175161e+03,7.5598992485e+02
6.9300000000e-01,-1.8609332667e+03,7.5548661742e+02
6.9350000000e-01,-1.8599490806e+03,7.5498261083e+02
6.9400000000e-01,-1.8589649585e+03,7.5447790368e+02
6.9450000000e-01,-1.8579809013e+03,7.5397249457e+02
6.9500000000e-01,-1.8569969097e+03,7.5346638207e+02
6.9550000000e-01,-1.8560129844e+03,7.5295956477e+02
6.9600000000e-01,-1.8550291261e+03,7.5245204125e+02
6.9650000000e-01,-1.8540453355e+03,7.5194381008e+02
6.9700000000e-01,-1.8530616135e+03,7.5143486982e+02
6.9750000000e-01,-1.8520779607e+03,7.5092521903e+02
6.9800000000e-01,-1.8510943780e+03,7.5041485626e+02
6.9850000000e-01,-1.8501108659e+03,7.4990378006e+02
6.9900000000e-01,-1.8491274253e+03,7.4939198896e+02
6.9950000000e-01,-1.8481440568e+03,7.4887948151e+02
7.0000000000e-01,-1.8471607613e+03,7.4836625624e+02
7.0050000000e-01,-1.8461775394e+03,7.4785231165e+02
7.0100000000e-01,-1.8451943919e+03,7.4733764627e+02
7.0150000000e-01,-1.8442113194e+03,7.4682225862e+02
7.0200000000e-01,-1.8432283227e+03,7.4630614718e+02
7.0250000000e-01,-1.8422454026e+03,7.4578931047e+02
7.0300000000e-01,-1.8412625597e+03,7.4527174696e+02
7.0350000000e-01,-1.8402797948e+03,7.4475345515e+02
7.0400000000e-01,-1.8392971086e+03,7.4423443352e+02
7.0450000000e-01,-1.8383145018e+03,7.4371468053e+02
7.0500000000e-01,-1.8373319751e+03,7.4319419466e+02
7.0550000000e-01,-1.8363495292e+03,7.4267297435e+02
7.0600000000e-01,-1.8353671649e+03,7.4215101807e+02
7.0650000000e-01,-1.8343848829e+03,7.4162832426e+02
7.0700000000e-01,-1.8334026838e+03,7.4110489136e+02
7.0750000000e-01,-1.8324205684e+03,7.4058071780e+02
7.0800000000e-01,-1.8314385373e+03,7.4005580200e+02
7.0850000000e-01,-1.8304565914e+03,7.3953014240e+02
7.0900000000e-01,-1.8294747312e+03,7.3900373739e+02
7.0950000000e-01,-1.8284929576e+03,7.3847658540e+02
7.1000000000e-01,-1.8275112711e+03,7.3794868480e+02
7.1050000000e-01,-1.8265296726e+03,7.3742003401e+02
7.1100000000e-01,-1.8255481627e+03,7.3689063140e+02
7.1150000000e-01,-1.8245667420e+03,7.3636047535e+02
7.1200000000e-01,-1.8235854114e+03,7.3582956423e+02
7.1250000000e-01,-1.8226041714e+03,7.3529789642e+02
7.1300000000e-01,-1.8216230229e+03,7.3476547025e+02
7.1350000000e-01,-1.8206419664e+03,7.3423228409e+02
7.1400000000e-01,-1.8196610027e+03,7.3369833628e+02
7.1450000000e-01,-1.8186801324e+03,7.3316362516e+02
7.1500000000e-01,-1.8176993564e+03,7.3262814905e+02
7.1550000000e-01,-1.8167186751e+03,7.3209190627e+02
7.1600000000e-01,-1.8157380894e+03,7.3155489514e+02
7.1650000000e-01,-1.8147575999e+03,7.3101711396e+02
7.1700000000e-01,-1.8137772073e+03,7.3047856104e+02
7.1750000000e-01,-1.8127969122e+03,7.2993923467e+02
7.1800000000e-01,-1.8118167155e+03,7.2939913313e+02
7.1850000000e-01,-1.8108366177e+03,7.2885825469e+02
7.1900000000e-01,-1.8098566195e+03,7.2831659763e+02
7.1950000000e-01,-1.8088767216e+03,7.2777416021e+02
7.2000000000e-01,-1.8078969246e+03,7.2723094068e+02
7.2050000000e-01,-1.8069172293e+03,7.2668693729e+02
7.2100000000e-01,-1.8059376364e+03,7.2614214827e+02
7.2150000000e-01,-1.8049581464e+03,7.2559657186e+02
7.2200000000e-01,-1.8039787601e+03,7.2505020628e+02
7.2250000000e-01,-1.8029994782e+03,7.2450304974e+02
7.2300000000e-01,-1.8020203012e+03,7.2395510046e+02
7.2350000000e-01,-1.8010412300e+03,7.2340635662e+02
7.2400000000e-01,-1.8000622650e+03,7.2285681642e+02
7.2450000000e-01,-1.7990834071e+03,7.2230647804e+02
7.2500000000e-01,-1.7981046568e+03,7.2175533966e+02
7.2550000000e-01,-1.7971260149e+03,7.2120339944e+02
7.2600000000e-01,-1.7961474819e+03,7.2065065554e+02
7.2650000000e-01,-1.7951690587e+03,7.2009710610e+02
7.2700000000e-01,-1.7941907457e+03,7.1954274928e+02
7.2750000000e-01,-1.7932125436e+03,7.1898758320e+02
7.2800000000e-01,-1.7922344532e+03,7.1843160599e+02
7.2850000000e-01,-1.7912564751e+03,7.1787481575e+02
7.2900000000e-01,-1.7902786099e+03,7.1731721061e+02
7.2950000000e-01,-1.7893008583e+03,7.1675878865e+02
7.3000000000e-01,-1.7883232209e+03,7.1619954796e+02
7.3050000000e-01,-1.7873456984e+03,7.1563948664e+02
7.3100000000e-01,-1.7863682915e+03,7.1507860274e+02
7.3150000000e-01,-1.7853910007e+03,7.1451689433e+02
7.3200000000e-01,-1.7844138267e+03,7.1395435946e+02
7.3250000000e-01,-1.7834367702e+03,7.1339099619e+02
7.3300000000e-01,-1.7824598318e+03,7.1282680254e+02
7.3350000000e-01,-1.7814830121e+03,7.1226177654e+02
7.3400000000e-01,-1.7805063119e+03,7.1169591622e+02
7.3450000000e-01,-1.7795297316e+03,7.1112921957e+02
7.3500000000e-01,-1.7785532721e+03,7.1056168460e+02
7.3550000000e-01,-1.7775769338e+03,7.0999330929e+02
7.3600000000e-01,-1.7766007175e+03,7.0942409164e+02
7.3650000000e-01,-1.7756246237e+03,7.0885402960e+02
7.3700000000e-01,-1.7746486532e+03,7.0828312114e+02
7.3750000000e-01,-1.7736728065e+03,7.0771136421e+02
7.3800000000e-01,-1.7726970843e+03,7.0713875675e+02
7.3850000000e-01,-1.7717214871e+03,7.0656529670e+02
7.3900000000e-01,-1.7707460157e+03,7.0599098197e+02
7.3950000000e-01,-1.7697706707e+03,7.0541581048e+02
7.4000000000e-01,-1.7687954526e+03,7.0483978014e+02
7.4050000000e-01,-1.7678203621e+03,7.0426288883e+02
7.4100000000e-01,-1.7668453998e+03,7.0368513444e+02
7.4150000000e-01,-1.7658705664e+03,7.0310651484e+02
7.4200000000e-01,-1.7648958625e+03,7.0252702789e+02
7.4250000000e-01,-1.7639212886e+03,7.0194667144e+02
7.4300000000e-01,-1.7629468454e+03,7.0136544334e+02
7.4350000000e-01,-1.7619725336e+03,7.0078334141e+02
7.4400000000e-01,-1.7609983537e+03,7.0020036348e+02
7.4450000000e-01,-1.7600243063e+03,6.9961650736e+02
7.4500000000e-01,-1.7590503921e+03,6.9903177085e+02
7.4550000000e-01,-1.7580766117e+03,6.9844615173e+02
7.4600000000e-01,-1.7571029656e+03,6.9785964778e+02
7.4650000000e-01,-1.7561294546e+03,6.9727225678e+02
7.4700000000e-01,-1.7551560791e+03,6.9668397647e+02
7.4750000000e-01,-1.7541828399e+03,6.9609480461e+02
7.4800000000e-01,-1.7532097374e+03,6.9550473892e+02
7.4850000000e-01,-1.7522367724e+03,6.9491377713e+02
7.4900000000e-01,-1.7512639454e+03,6.9432191695e+02
7.4950000000e-01,-1.7502912570e+03,6.9372915608e+02
7.5000000000e-01,-1.7493187078e+03,6.9313549222e+02
7.5050000000e-01,-1.7483462984e+03,6.9254092304e+02
7.5100000000e-01,-1.7473740295e+03,6.9194544620e+02
7.5150000000e-01,-1.7464019015e+03,6.9134905936e+02
7.5200000000e-01,-1.7454299152e+03,6.9075176016e+02
7.5250000000e-01,-1.7444580711e+03,6.9015354624e+02
7.5300000000e-01,-1.7434863697e+03,6.8955441521e+02
7.5350000000e-01,-1.7425148118e+03,6.8895436469e+02
7.5400000000e-01,-1.7415433978e+03,6.8835339225e+02
7.5450000000e-01,-1.7405721284e+03,6.8775149550e+02
7.5500000000e-01,-1.7396010041e+03,6.8714867200e+02
7.5550000000e-01,-1.7386300256e+03,6.8654491931e+02
7.5600000000e-01,-1.7376591934e+03,6.8594023498e+02
7.5650000000e-01,-1.7366885081e+03,6.8533461653e+02
7.5700000000e-01,-1.7357179703e+03,6.8472806150e+02
7.5750000000e-01,-1.7347475806e+03,6.8412056738e+02
7.5800000000e-01,-1.7337773395e+03,6.8351213168e+02
7.5850000000e-01,-1.7328072476e+03,6.8290275188e+02
7.5900000000e-01,-1.7318373056e+03,6.8229242546e+02
7.5950000000e-01,-1.7308675140e+03,6.8168114985e+02
7.6000000000e-01,-1.7298978733e+03,6.8106892252e+02
7.6050000000e-01,-1.7289283841e+03,6.8045574090e+02
7.6100000000e-01,-1.7279590471e+03,6.7984160239e+02
7.6150000000e-01,-1.7269898627e+03,6.7922650441e+02
7.6200000000e-01,-1.7260208316e+03,6.7861044434e+02
7.6250000000e-01,-1.7250519543e+03,6.7799341957e+02
7.6300000000e-01,-1.7240832314e+03,6.7737542745e+02
7.6350000000e-01,-1.7231146635e+03,6.7675646534e+02
7.6400000000e-01,-1.7221462510e+03,6.7613653057e+02
7.6450000000e-01,-1.7211779947e+03,6.7551562047e+02
7.6500000000e-01,-1.7202098950e+03,6.7489373234e+02
7.6550000000e-01,-1.7192419525e+03,6.7427086348e+02
7.6600000000e-01,-1.7182741678e+03,6.7364701117e+02
7.6650000000e-01,-1.7173065415e+03,6.7302217267e+02
7.6700000000e-01,-1.7163390740e+03,6.7239634523e+02
7.6750000000e-01,-1.7153717659e+03,6.7176952608e+02
7.6800000000e-01,-1.7144046179e+03,6.7114171246e+02
7.6850000000e-01,-1.7134376304e+03,6.7051290157e+02
7.6900000000e-01,-1.7124708041e+03,6.6988309059e+02
7.6950000000e-01,-1.7115041394e+03,6.6925227671e+02
7.7000000000e-01,-1.7105376369e+03,6.6862045708e+02
7.7050000000e-01,-1.7095712972e+03,6.6798762885e+02
7.7100000000e-01,-1.7086051208e+03,6.6735378916e+02
7.7150000000e-01,-1.7076391083e+03,6.6671893512e+02
7.7200000000e-01,-1.7066732602e+03,6.6608306382e+02
7.7250000000e-01,-1.7057075770e+03,6.6544617236e+02
7.7300000000e-01,-1.7047420593e+03,6.6480825780e+02
7.7350000000e-01,-1.7037767077e+03,6.6416931718e+02
7.7400000000e-01,-1.7028115226e+03,6.6352934756e+02
7.7450000000e-01,-1.7018465047e+03,6.6288834594e+02
7.7500000000e-01,-1.7008816544e+03,6.6224630933e+02
7.7550000000e-01,-1.6999169724e+03,6.6160323472e+02
7.7600000000e-01,-1.6989524590e+03,6.6095911908e+02
7.7650000000e-01,-1.6979881150e+03,6.6031395936e+02
7.7700000000e-01,-1.6970239407e+03,6.5966775250e+02
7.7750000000e-01,-1.6960599368e+03,6.5902049542e+02
7.7800000000e-01,-1.6950961038e+03,6.5837218501e+02
7.7850000000e-01,-1.6941324422e+03,6.5772281817e+02
7.7900000000e-01,-1.6931689525e+03,6.5707239177e+02
7.7950000000e-01,-1.6922056352e+03,6.5642090264e+02
7.8000000000e-01,-1.6912424910e+03,6.5576834764e+02
7.8050000000e-01,-1.6902795202e+03,6.5511472356e+02
7.8100000000e-01,-1.6893167235e+03,6.5446002722e+02
7.8150000000e-01,-1.6883541014e+03,6.5380425538e+02
7.8200000000e-01,-1.6873916543e+03,6.5314740480e+02
7.8250000000e-01,-1.6864293829e+03,6.5248947224e+02
7.8300000000e-01,-1.6854672876e+03,6.5183045441e+02
7.8350000000e-01,-1.6845053689e+03,6.5117034802e+02
7.8400000000e-01,-1.6835436274e+03,6.5050914975e+02
7.8450000000e-01,-1.6825820636e+03,6.4984685627e+02
7.8500000000e-01,-1.6816206780e+03,6.4918346424e+02
7.8550000000e-01,-1.6806594711e+03,6.4851897027e+02
7.8600000000e-01,-1.6796984434e+03,6.4785337098e+02
7.8650000000e-01,-1.6787375954e+03,6.4718666295e+02
7.8700000000e-01,-1.6777769277e+03,6.4651884276e+02
7.8750000000e-01,-1.6768164408e+03,6.4584990696e+02
7.8800000000e-01,-1.6758561351e+03,6.4517985208e+02
7.8850000000e-01,-1.6748960112e+03,6.4450867462e+02
7.8900000000e-01,-1.6739360695e+03,6.4383637108e+02
7.8950000000e-01,-1.6729763107e+03,6.4316293793e+02
7.9000000000e-01,-1.6720167351e+03,6.4248837160e+02
7.9050000000e-01,-1.6710573434e+03,6.4181266854e+02
7.9100000000e-01,-1.6700981359e+03,6.4113582514e+02
7.9150000000e-01,-1.6691391132e+03,6.4045783779e+02
7.9200000000e-01,-1.6681802758e+03,6.3977870286e+02
7.9250000000e-01,-1.6672216242e+03,6.3909841668e+02
7.9300000000e-01,-1.6662631589e+03,6.3841697557e+02
7.9350000000e-01,-1.6653048803e+03,6.3773437584e+02
7.9400000000e-01,-1.6643467891e+03,6.3705061376e+02
7.9450000000e-01,-1.6633888856e+03,6.3636568557e+02
7.9500000000e-01,-1.6624311703e+03,6.3567958752e+02
7.9550000000e-01,-1.6614736439e+03,6.3499231581e+02
7.9600000000e-01,-1.6605163066e+03,6.3430386662e+02
7.9650000000e-01,-1.6595591591e+03,6.3361423612e+02
7.9700000000e-01,-1.6586022019e+03,6.3292342045e+02
7.9750000000e-01,-1.6576454353e+03,6.3223141571e+02
7.9800000000e-01,-1.6566888599e+03,6.3153821801e+02
7.9850000000e-01,-1.6557324762e+03,6.3084382341e+02
7.9900000000e-01,-1.6547762847e+03,6.3014822795e+02
7.9950000000e-01,-1.6538202858e+03,6.2945142764e+02
8.0000000000e-01,-1.6528644800e+03,6.2875341850e+02
8.0050000000e-01,-1.6519088678e+03,6.2805419648e+02
8.0100000000e-01,-1.6509534497e+03,6.2735375753e+02
8.0150000000e-01,-1.6499982262e+03,6.2665209756e+02
8.0200000000e-01,-1.6490431977e+03,6.2594921248e+02
8.0250000000e-01,-1.6480883647e+03,6.2524509815e+02
8.0300000000e-01,-1.6471337276e+03,6.2453975042e+02
8.0350000000e-01,-1.6461792871e+03,6.2383316509e+02
8.0400000000e-01,-1.6452250435e+03,6.2312533796e+02
8.0450000000e-01,-1.6442709972e+03,6.2241626480e+02
8.0500000000e-01,-1.6433171489e+03,6.2170594134e+02
8.0550000000e-01,-1.6423634988e+03,6.2099436328e+02
8.0600000000e-01,-1.6414100476e+03,6.2028152631e+02
8.0650000000e-01,-1.6404567957e+03,6.1956742610e+02
8.0700000000e-01,-1.6395037434e+03,6.1885205825e+02
8.0750000000e-01,-1.6385508914e+03,6.1813541838e+02
8.0800000000e-01,-1.6375982401e+03,6.1741750204e+02
8.0850000000e-01,-1.6366457898e+03,6.1669830480e+02
8.0900000000e-01,-1.6356935412e+03,6.1597782215e+02
8.0950000000e-01,-1.6347414946e+03,6.1525604958e+02
8.1000000000e-01,-1.6337896505e+03,6.1453298255e+02
8.1050000000e-01,-1.6328380093e+03,6.1380861649e+02
8.1100000000e-01,-1.6318865716e+03,6.1308294678e+02
8.1150000000e-01,-1.6309353377e+03,6.1235596879e+02
8.1200000000e-01,-1.6299843082e+03,6.1162767786e+02
8.1250000000e-01,-1.6290334834e+03,6.1089806930e+02
8.1300000000e-01,-1.6280828638e+03,6.1016713837e+02
8.1350000000e-01,-1.6271324500e+03,6.0943488032e+02
8.1400000000e-01,-1.6261822422e+03,6.0870129036e+02
8.1450000000e-01,-1.6252322411e+03,6.0796636366e+02
8.1500000000e-01,-1.6242824469e+03,6.0723009538e+02
8.1550000000e-01,-1.6233328603e+03,6.0649248063e+02
8.1600000000e-01,-1.6223834815e+03,6.0575351448e+02
8.1650000000e-01,-1.6214343111e+03,6.0501319199e+02
8.1700000000e-01,-1.6204853495e+03,6.0427150818e+02
8.1750000000e-01,-1.6195365972e+03,6.0352845801e+02
8.1800000000e-01,-1.6185880545e+03,6.0278403645e+02
8.1850000000e-01,-1.6176397219e+03,6.0203823840e+02
8.1900000000e-01,-1.6166915999e+03,6.0129105874e+02
8.1950000000e-01,-1.6157436890e+03,6.0054249231e+02
8.2000000000e-01,-1.6147959894e+03,5.9979253393e+02
8.2050000000e-01,-1.6138485017e+03,5.9904117836e+02
8.2100000000e-01,-1.6129012263e+03,5.9828842034e+02
8.2150000000e-01,-1.6119541637e+03,5.9753425457e+02
8.2200000000e-01,-1.6110073142e+03,5.9677867572e+02
8.2250000000e-01,-1.6100606783e+03,5.9602167840e+02
8.2300000000e-01,-1.6091142564e+03,5.9526325721e+02
8.2350000000e-01,-1.6081680490e+03,5.9450340670e+02
8.2400000000e-01,-1.6072220565e+03,5.9374212137e+02
8.2450000000e-01,-1.6062762793e+03,5.9297939572e+02
8.2500000000e-01,-1.6053307178e+03,5.9221522415e+02
8.2550000000e-01,-1.6043853725e+03,5.9144960109e+02
8.2600000000e-01,-1.6034402438e+03,5.9068252087e+02
8.2650000000e-01,-1.6024953320e+03,5.8991397782e+02
8.2700000000e-01,-1.6015506377e+03,5.8914396621e+02
8.2750000000e-01,-1.6006061613e+03,5.8837248028e+02
8.2800000000e-01,-1.5996619031e+03,5.8759951422e+02
8.2850000000e-01,-1.5987178636e+03,5.8682506217e+02
8.2900000000e-01,-1.5977740432e+03,5.8604911825e+02
8.2950000000e-01,-1.5968304423e+03,5.8527167653e+02
8.3000000000e-01,-1.5958870613e+03,5.8449273102e+02
8.3050000000e-01,-1.5949439007e+03,5.8371227571e+02
8.3100000000e-01,-1.5940009608e+03,5.8293030454e+02
8.3150000000e-01,-1.5930582421e+03,5.8214681139e+02
8.3200000000e-01,-1.5921157450e+03,5.8136179011e+02
